brand_name,parent_company_name,year,item_description,type_product,type_material,layer,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
"6 round bouy""""",unbranded,2018,Unknown,other,ps,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
7-11 big gulp,7-11 big gulp,2021,lid,food packaging,pet,unsure,62.0,2021-06-12,2021-06-12,3.5,fairhaven,massachusetts,united states of america,north america,outdoor,coastal,1858,-70.9036487,41.6376043,city,1,0.0005382131324004
7-11 cups,seven & i holdings co.,2018,Unknown,other,pet,unsure,30.0,2018-08-11,2018-08-11,3.115933014354067,long beach,california,united states of america,north america,outdoor,coastal,236,-118.191604,33.7690164,city,5,0.0211864406779661
7-eleven,seven & i holdings co.,2020,plastic bag,food packaging,hdpe,single-layer,2.0,2020-09-11,2020-09-11,4.0,monterey,nuevo,mexico,north america,outdoor,inland,28,-102.0077097,23.6585116,country,1,0.0357142857142857
7-eleven,seven & i holdings co.,2020,cookie sandwich wrapper,food packaging,o,unsure,24.0,2020-10-14,2020-10-14,2.0,denver,co,united states of america,north america,outdoor,inland,197,-104.984862,39.7392364,city,1,0.0050761421319797
7-eleven,seven & i holdings co.,2020,slurpee cup,food packaging,pet,single-layer,24.0,2020-10-14,2020-10-14,2.0,denver,co,united states of america,north america,outdoor,inland,197,-104.984862,39.7392364,city,11,0.0558375634517767
7-eleven,seven & i holdings co.,2021,plastic,food packaging,ps,single-layer,16.0,2021-04-24,2021-04-24,3.0,san francisco,california,united states of america,north america,outdoor,freshwater,345,122.4194,37.7749,city,2,0.0057971014492753
7-eleven,seven & i holdings co.,2021,straw,food packaging,o,single-layer,16.0,2021-04-24,2021-04-24,3.0,san francisco,california,united states of america,north america,outdoor,freshwater,345,122.4194,37.7749,city,1,0.0028985507246376
7-eleven,seven & i holdings co.,2021,cup,food packaging,o,single-layer,2.0,2021-04-24,2021-04-24,1.0,port coquitlam,Unknown,canada,north america,outdoor,inland,76,-122.780542,49.2621643,city,2,0.0263157894736842
7-eleven,seven & i holdings co.,2020,bag,household products,ldpe,single-layer,2.0,2020-10-03,2020-10-03,2.0,los angeles,california,united states of america,north america,outdoor,inland,284,-118.242766,34.0536909,city,1,0.0035211267605633
